"","diff","lwr","upr","p adj"
"Iso.S-Iso.NS",-0.267683079230193,-1.78982555376608,1.25445939530569,0.9521235257247
"Soc.NS-Iso.NS",2.66383404148963,1.14169156695374,4.18597651602551,0.00110481637848459
"Soc.S-Iso.NS",1.24193951512122,-0.280202959414666,2.7640819896571,0.12536877392829
"Soc.NS-Iso.S",2.93151712071982,1.40937464618393,4.4536595952557,0.000483200189538069
"Soc.S-Iso.S",1.50962259435141,-0.0125198801844735,3.0317650688873,0.0521511640911424
"Soc.S-Soc.NS",-1.42189452636841,-2.94403700090429,0.100247948167478,0.0699054080116288
